,room,floor,floor_counts,square,price,metro_foot_minute,zone,district,metro
1315,2,7,14,67.0,48000000,3,ЗАО,Дорогомилово,Киевская
1316,2,14,22,86.2,50000000,6,ЮАО,Донской,Ленинский проспект
1317,3,3,10,62.5,52000000,5,ЦАО,Арбат,Смоленская
1318,2,7,9,55.1,53000000,8,ЦАО,Пресненский,Пушкинская
1319,3,5,7,73.4,53400000,13,ЦАО,Пресненский,Улица 1905 года
1320,3,17,24,82.0,54000000,10,СЗАО,Хорошево,Шелепиха
1321,3,4,23,96.0,57000000,12,ЮЗАО,Обручевский,Новые Черёмушки
1322,3,9,9,86.6,57500000,3,ЦАО,Басманный,Курская
1323,3,14,14,78.0,60000000,3,ЗАО,Дорогомилово,Киевская
1324,2,3,40,81.7,59500000,11,САО,Хорошевский,ЦСКА
1325,3,13,28,96.0,63000000,14,ЗАО,Филевский парк,Парк Победы
1326,3,2,17,105.0,64900000,19,ЗАО,Раменки,Поклонная
1327,2,5,6,49.6,66960000,10,ЦАО,Хамовники,Парк Культуры
1328,3,3,14,130.0,67800000,9,СВАО,Марьина роща,Достоевская
1329,2,4,20,65.1,68000000,12,ЦАО,Пресненский,Москва
1330,2,3,3,107.8,70000000,9,СЗАО,Покровское,Балтийская
1331,3,2,3,150.1,72000000,7,ЦАО,Таганский,Таганская
1332,3,37,41,97.2,72500000,13,САО,Хорошевский,Аэропорт
1333,3,5,23,128.0,73500000,18,ЗАО,Очаково,Матвеевская
1334,3,18,57,116.0,75000000,10,САО,Хорошевский,Аэропорт
1335,2,5,7,66.2,77826250,6,ЦАО,Арбат,Арбатская
1336,3,6,10,99.7,78000000,4,ЗАО,Дорогомилово,Поклонная
1337,1,63,66,86.0,90000000,4,ЦАО,Пресненский,Деловой центр
1338,2,3,7,70.0,92690000,6,ЦАО,Арбат,Арбатская
1339,13,4,15,160.0,95000000,16,ЗАО,Раменки,Ломоносовский проспект
1340,3,3,10,101.0,96000000,4,ЗАО,Дорогомилово,Поклонная
1341,2,4,6,75.1,99000000,10,ЦАО,Хамовники,Парк Культуры
1342,2,7,12,77.2,104900000,8,ЦАО,Хамовники,Фрунзенская
1343,3,3,11,116.69,116690000,9,ЗАО,Дорогомилово,Парк Победы
1344,3,5,8,87.0,121800000,11,ЦАО,Таганский,Китай
1345,3,4,6,111.3,133560000,10,ЦАО,Хамовники,Парк Культуры
1346,3,1,3,229.0,140000000,5,СЗАО,Хорошево,Народное Ополчение
1347,3,5,6,122.6,147120000,10,ЦАО,Хамовники,Парк Культуры
1348,3,2,8,152.2,155000000,6,ЦАО,Хамовники,Спортивная
1349,2,2,6,107.0,168955975,13,ЦАО,Таганский,Чкаловская
1350,3,3,9,130.0,175500000,12,ЦАО,Хамовники,Киевская
1351,3,12,13,180.0,180000000,5,ЦАО,Арбат,Смоленская
1352,3,8,10,141.0,222000000,6,ЦАО,Замоскворечье,Новокузнецкая
1353,3,3,4,122.0,268000000,11,ЦАО,Пресненский,Арбатская
1354,3,3,6,162.0,290000000,5,ЦАО,Хамовники,Парк Культуры
1355,2,2,9,37.1,10990000,11,СВАО,Ростокино,Ростокино
1356,2,21,22,39.9,12990000,4,НАО (Новомосковский),,Филатов Луг
1357,2,5,17,55.9,18400000,13,СВАО,Отрадное,Окружная
1358,1,18,22,43.0,19500000,6,СЗАО,Щукино,Стрешнево
1359,1,11,34,46.4,19990000,7,ЮЗАО,Обручевский,Воронцовская
1360,1,18,22,43.0,20700000,6,СЗАО,Щукино,Стрешнево
1361,3,10,17,73.7,23000000,12,ЗАО,Кунцево,Молодёжная
1362,2,4,14,43.0,27000000,5,ЗАО,Раменки,Минская
1363,3,10,18,63.9,27250000,7,ЦАО,Таганский,Марксистская
1364,3,3,20,70.0,28400000,11,ЮАО,Даниловский,Технопарк
1365,1,9,26,48.8,29900000,13,ЮЗАО,Черемушки,Зюзино
1366,2,14,29,50.1,30500000,5,СЗАО,Хорошево,Хорошёвская
1367,22,3,19,47.7,32500000,5,ЗАО,Раменки,Аминьевская
1368,3,15,28,63.3,33250000,6,ЗАО,Раменки,Раменки
1369,2,4,11,62.7,33100000,10,ЗАО,Раменки,Раменки
1370,3,3,6,127.0,34300000,11,ТАО (Троицкий),,Крёкшино
1371,3,3,6,127.0,34300000,11,ТАО (Троицкий),,Крёкшино
